added_conflict_pairs,algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iteration,lb,name,refinements,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
4,0.003105249,18.625,307,33,15,InfiniteSteps180,53,2,15,stationA6,1,4,5.46024,BigMLazy,0.002210272,ok,0.005314873,8,298,15
7,0.002599578,12.625,126,33,16,InfiniteSteps180,54,3,16,stationA7,2,7,6.773924,BigMLazy,0.004026162,ok,0.006624314,8,202,16
169,0.028521084999994173,19.88888931274414,4862,33,,InfiniteSteps180,55,11,159,stationA8,10,169,120079.692265,BigMLazy,119.974403362,timeout,120.002922374,27,1074,174
43,0.01257099200000001,20.049999237060547,2616,33,49,InfiniteSteps180,56,5,49,stationA9,4,43,81.12331,BigMLazy,0.062382955,ok,0.07495268,20,802,49
23,0.009469895,18.176469802856445,1632,33,41,InfiniteSteps180,57,4,41,stationA10,3,23,32.895599,BigMLazy,0.014625119,ok,0.02409228,17,618,41
210,0.028780091000001562,20.482759475708008,6144,33,,InfiniteSteps180,58,8,102,stationA11,7,210,120031.875205,BigMLazy,119.973420305,timeout,120.002192313,29,1188,133
202,0.02562292300000024,21.714284896850586,6393,33,,InfiniteSteps180,59,7,108,stationA12,6,202,120410.132966,BigMLazy,119.976178711,timeout,120.001798967,28,1216,160
31,0.009031540000000005,17.33333396911621,2022,25,30,InfiniteSteps180,60,4,30,stationB1,3,31,58.054856,BigMLazy,0.042473539,ok,0.051503242,18,624,30
5,0.001992876,14.800000190734863,87,25,29,InfiniteSteps180,61,2,29,stationB2,1,5,5.165349,BigMLazy,0.003019013,ok,0.005011062,5,148,29
5,0.001932946,16.799999237060547,136,20,6,InfiniteSteps180,62,2,6,stationB3,1,5,4.449889000000001,BigMLazy,0.002354667,ok,0.004286847,5,168,6
40,0.009307914,15.949999809265137,2246,25,355,InfiniteSteps180,63,5,355,stationB4,4,40,74.85712,BigMLazy,0.06538201,ok,0.074688288,20,638,355
10,0.004523523,17.799999237060547,136,25,10,InfiniteSteps180,64,6,10,stationB5,5,10,13.367745000000001,BigMLazy,0.008698763,ok,0.013221389,5,178,10
3,0.001976294,15.199999809265137,93,25,5,InfiniteSteps180,65,2,5,stationB6,1,3,3.8443129999999996,BigMLazy,0.001715204,ok,0.003690604,5,152,5
49,0.012508230000000009,15.25,2865,25,339,InfiniteSteps180,66,5,339,stationB7,4,49,379.799213,BigMLazy,0.360051251,ok,0.372558554,24,732,339
5,0.0020902150000000003,13.399999618530273,72,25,16,InfiniteSteps180,67,3,16,stationB8,2,5,5.435002000000001,BigMLazy,0.003187873,ok,0.005277173,5,134,16
10,0.004280623,13.571428298950195,150,25,70,InfiniteSteps180,68,5,70,stationB9,4,10,11.597683,BigMLazy,0.007117252,ok,0.011396981,7,190,70
3,0.002174388,12.857142448425293,126,25,53,InfiniteSteps180,69,2,53,stationB10,1,3,4.2063999999999995,BigMLazy,0.001896897,ok,0.004070366,7,180,53
56,0.016622711999999984,15.399999618530273,3202,25,415,InfiniteSteps180,70,7,415,stationB11,6,56,856.571694,BigMLazy,0.839765716,ok,0.856387827,25,770,415
30,0.006963218,16.214284896850586,970,25,98,InfiniteSteps180,71,6,98,stationB12,5,30,34.60197,BigMLazy,0.027488051,ok,0.034450304,14,454,98
